date,issue_key,issue_id,hours,description,current_hours,target_hours,project
2025-01-01,CON-2433,29854,9.0,Development work - Werken aan issue CON-2433,0,9.0,CON
2025-01-02,CON-1461,14054,5.0,Development work - Working on issue CON-1461,4.0,9.0,CON
2025-01-03,CON-2272,17866,3.5,Development work - Working on issue CON-2272,2.0,9.0,CON
2025-01-03,BKISS-101,29206,0.88,Development work - Review,2.0,9.0,BKISS
2025-01-03,BKISS-129,29391,1.75,Development work - Review,2.0,9.0,BKISS
2025-01-03,BKISS-144,29656,0.88,Development work - Review,2.0,9.0,BKISS
2025-01-06,BKISS-128,29390,4.5,Development work - Working on issue PC108-128,0,9.0,BKISS
2025-01-06,REGISTERS-83,29065,2.25,Development work - Working on issue REGISTERS-83,0,9.0,REGISTERS
2025-01-06,BKISS-137,29399,2.25,Development work - Working on issue PC108-137,0,9.0,BKISS
2025-01-07,CONNECTOR-157,29258,1.12,Development work - Review,0,9.0,CONNECTOR
2025-01-07,REGISTERS-87,29322,1.12,Development work - Review,0,9.0,REGISTERS
2025-01-07,BKISS-134,29396,2.25,Development work - Working on issue PC108-134,0,9.0,BKISS
2025-01-07,BKISS-147,29678,1.12,Development work - Overleg,0,9.0,BKISS
2025-01-07,BKISS-137,29399,1.69,Development work - Working on issue PC108-137,0,9.0,BKISS
2025-01-07,BKISS-136,29398,1.69,Development work - Working on issue PC108-136,0,9.0,BKISS
2025-01-08,BKISS-152,29683,1.75,Development work - review,2.0,9.0,BKISS
2025-01-08,OP-428,28877,0.88,Development work - review,2.0,9.0,OP
2025-01-08,IBOC-86,29769,4.38,Development work - Working on issue IBOC-86,2.0,9.0,IBOC
2025-01-09,BKISS-152,29683,0.88,Development work - Review,2.0,9.0,BKISS
2025-01-09,CONNECTOR-175,29697,1.75,Development work - Working on issue CONNECTOR-175,2.0,9.0,CONNECTOR
2025-01-09,CONNECTOR-172,29694,4.38,Development work - Working on issue CONNECTOR-172,2.0,9.0,CONNECTOR
2025-01-10,CONNECTOR-172,29694,2.25,Development work - Working on issue CONNECTOR-172,0,9.0,CONNECTOR
2025-01-10,CONNECTOR-174,29696,5.06,Development work - Working on issue CONNECTOR-174,0,9.0,CONNECTOR
2025-01-10,OP-451,29726,1.69,Development work - Working on issue OP-451,0,9.0,OP
2025-01-13,S20-101,29734,0.88,Development work - Working on issue S20-101,2.0,9.0,S20
2025-01-13,CONNECTOR-175,29697,1.75,Development work - Working on issue CONNECTOR-175,2.0,9.0,CONNECTOR
2025-01-13,CONNECTOR-52,28578,1.75,Development work - review,2.0,9.0,CONNECTOR
2025-01-13,BKISS-146,29677,1.31,Development work - review,2.0,9.0,BKISS
2025-01-13,BKISS-127,29389,1.31,Development work - review,2.0,9.0,BKISS
2025-01-14,CONNECTOR-175,29697,2.62,Development work - Working on issue CONNECTOR-175,2.0,9.0,CONNECTOR
2025-01-14,IBOC-25,29271,3.5,Development work - Working on issue IBOC-78,2.0,9.0,IBOC
2025-01-14,CONNECTOR-52,28578,0.88,Development work - Working on issue CONNECTOR-52,2.0,9.0,CONNECTOR
2025-01-15,IBOC-79,29759,3.5,Development work - Working on issue IBOC-79,2.0,9.0,IBOC
2025-01-15,IBOC-83,29763,0.44,Development work - Working on issue IBOC-83,2.0,9.0,IBOC
2025-01-15,IBOC-82,29762,0.44,Development work - Working on issue IBOC-82,2.0,9.0,IBOC
2025-01-15,IBOC-85,29765,0.88,Development work - Working on issue IBOC-85,2.0,9.0,IBOC
2025-01-15,IBOC-81,29761,0.88,Development work - Working on issue IBOC-81,2.0,9.0,IBOC
2025-01-15,IBOC-80,29760,0.88,Development work - Working on issue IBOC-80,2.0,9.0,IBOC
2025-01-16,IBOC-25,29271,0.96,Development work - Working on issue IBOC-25,6.8,9.0,IBOC
2025-01-16,IBOC-95,29779,0.14,Development work - issue aanmaken,6.8,9.0,IBOC
2025-01-16,IBOC-94,29778,0.14,Development work - issue aanmaken,6.8,9.0,IBOC
2025-01-16,IBOC-93,29776,0.14,Development work - issue aanmaken,6.8,9.0,IBOC
2025-01-16,IBOC-92,29775,0.14,Development work - issue aanmaken,6.8,9.0,IBOC
