date,hours,commits,repos,first_commit,last_commit,commit_messages
2025-01-01,2.1,2,openregister,14:15,14:15,Small refactor | Better code for extending from external applicaitons
2025-01-02,4.2,3,openregister,09:32,13:32,Update from dev | Extend registers withs schema's | Merge pull request #114 from ConductionNL/feature/REGISTERS-85/improved-developer-experience
2025-01-03,2.0,1,openregister,08:54,08:54,Merge pull request #116 from ConductionNL/development
2025-01-09,2.1,3,openconnector,09:13,10:03,Handeling object removal | First draft for cloud event | Add the listener
2025-01-14,2.3,6,openconnector,14:03,15:49,Fixes for dealing with empty responces | Fix for getting objects from the root of a responce | Update documentation | LInting fixes | Merge pull request #168 from ConductionNL/feature/CONNECTOR-52/cloud-events | Merge pull request #171 from ConductionNL/development
2025-01-15,12.0,10,"openconnector, openregister",11:44,23:12,"Mapping hotfix | Merge branch 'feature/CONNECTOR-52/cloud-events' of https://github.com/ConductionNL/OpenConnector in | Merge pull request #177 from ConductionNL/hotfix/mapping | Add locking mechanism to ObjectEntity and ObjectService | Enhance ObjectEntityMapper and ObjectService with locking functionality | Why | Merge remote-tracking branch 'origin/development' into feature/CONNECTOR-179/locking | Add object locking, unlocking, and reverting functionality | Add locking and ownership featur..."
2025-01-16,7.2,6,"opencatalogi, openregister",09:26,16:17,First fixes on locking | Add folder to register and object | Proofed endpoint with menu | Proofed endpoint with menu | Merge remote-tracking branch 'origin/master' into feature/IBOC-99/objects-controller | Merge remote-tracking branch 'origin/master' into feature/IBOC-99/objects-controller
2025-01-17,4.3,3,"opencatalogi, openconnector",09:01,13:11,Delete/Edit modals | Delete/Edit modals | Doc updates
2025-01-20,2.2,5,openconnector,15:20,16:15,Bit more error fixing | Attaching th contract log to the sync log | Bit of code cleanup and a backward compatibilty fix | Fixing the ui | Rout fixes for actually displaying the logs
2025-01-21,2.1,3,openregister,12:42,13:53,Ga naar folder knop | Merge branch 'feature/CONNECTOR-179/locking' of https://github.com/ConductionNL/OpenRegisters into f | Make files visable in Open Register file detail view
2025-01-24,4.2,8,opencatalogi,10:31,14:19,Codeclean up | Codeclean up | Merge branch 'feature/IBOC-99/objects-controller' of https://github.com/ConductionNL/opencatalogi in | Merge branch 'feature/IBOC-99/objects-controller' of https://github.com/ConductionNL/opencatalogi in | Merge remote-tracking branch 'origin/development' into feature/IBOC-99/objects-controller | Merge remote-tracking branch 'origin/development' into feature/IBOC-99/objects-controller | Code cleanup on store usage | Code cleanup on store usage
2025-01-27,2.2,4,"opencatalogi, openregister",14:50,15:00,Spliting functions for getting files | Get proper url | Picking up the files from the nextcloud share | Picking up the files from the nextcloud share
2025-01-31,2.1,3,"opencatalogi, openregister",08:26,08:48,Use files in the open catalogi view | Use files in the open catalogi view | Add metadata to objects
2025-02-05,2.7,5,openregister,09:00,11:29,small updates | Started adding diagrams | Merge branch 'documentation-ibds' into documentation | Merge remote-tracking branch 'origin/documentation' into documentation | Merge pull request #155 from ConductionNL/documentation
2025-02-06,2.0,1,Softwarecatalogus,16:45,16:45,Update README.md
2025-02-10,2.0,1,openregister,09:19,09:19,Lets think about contributing
2025-02-11,5.9,15,"opencatalogi, openregister",10:56,16:07,Setting up the new open catalogi docusaures from a cop of open registers | Setting up the new open catalogi docusaures from a cop of open registers | Set attachements to | Set attachements to | Id fix | Id fix | Set the guest user on the session | Set the guest user on the session | Aanpassing op verzoek van @robert | Remove empty file | Merge pull request #153 from ConductionNL/feature/REGISTERS-99/metadata | Clean up the labels | Clean up the labels | Merge branch 'feature/IBOC-140/file-ref...
2025-02-20,5.2,6,woo-website,12:10,17:06,Lets Clean up the docs | Menu improvements | Merge branch 'main' of https://github.com/ConductionNL/woo-website | Moving the components | Cleanup and go | LAten we eens beginnen met de architectuur bijwerken
2025-02-21,2.0,1,woo-website,08:31,08:31,Lets do architectuur
2025-02-24,3.0,9,Softwarecatalogus,08:09,10:41,"Lets setup docusaurus | So the file generation flows might miss each other | Okey, so internal links are case sensitive thats a first | Lets not do links on the intro page | Rebuild trying to find the correct url | VNG Styling | More vng styling | Litle bit better documentation page | Somehow we lost the styling"
2025-02-25,6.9,38,openregister,08:27,13:30,Lets start on customer interraction | Merge branch 'documentation' of https://github.com/ConductionNL/OpenRegisters into documentation | Lets rule the docs | Merge branch 'documentation' of https://github.com/ConductionNL/OpenRegisters into documentation | Let up th docs again | Lets auto generate the sidebar | Moving the doc to the correct folder | Fix broken links | Fix race condition | Tabs test | More tabs? | Tabs fix? | Lets get the good client definition | Link fix | More link fixes | D...
2025-02-26,14.1,7,"opencatalogi, openregister",08:05,21:50,"Very simple setup for missing file logic | Very simple setup for missing file logic | File handling docs (WIP) | Ad pagination to audittrails, uses, relations and files | Add ublish and unpublish file code | Update the controller to use the new functions | Bit of bug hunting"
2025-02-27,9.5,16,"opencatalogi, openregister",09:11,17:50,Fixing the pagination on controller | Bug fix | Merge branch 'feature/VSC-190/pagination' of https://github.com/ConductionNL/opencatalogi into featu | request parameters mee sturen naar format files | Merge branch 'feature/VSC-190/pagination' of https://github.com/ConductionNL/opencatalogi into featu | request parameters mee sturen naar format files | Merge branch 'feature/vcs-190/pagination' of https://github.com/ConductionNL/OpenRegisters into feat | Slice the file array | Make file content...
2025-03-03,7.8,18,Softwarecatalogus,13:54,20:48,Lets add the oas | Better endppoint naming | Lets add api documentation | Url fix | Add menu item and documentation | Lets render the diagram | Now lets go | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Url fix | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | url fix | add the mappings | Lets add some mapping dogs | Some more url errors | Lets import tabs | Let move around the doc...
2025-03-06,9.0,40,"Softwarecatalogus, opencatalogi, openregister",09:44,16:42,Remove the issues from github | Lets add api documentation | Fix primarry collor | Fix plugin configuration | Add redocsaurus | Add redocsaurus | Propper api link | Propper api link | Propper api link | propper domain switch | propper domain switch | Lets setup api documentation | Lets setup api documentation | Lets get the content in the product page | Lets get the content in the product page | still workin on the redocsuarus | still workin on the redocsuarus | Merge branch 'documentation' o...
2025-03-10,11.4,6,"Softwarecatalogus, openregister",09:50,20:54,U[date to the api docs | Lets add crud action to open registers | Merge branch 'documentation' of https://github.com/ConductionNL/OpenRegisters into documentation | Fix user object | Lets start to create some real docs | Add user docs
2025-03-11,9.1,6,"Softwarecatalogus, openregister",13:25,22:13,Lets add crud | Remove broken link | Remove broken tabs | Lets try integrating the docs | Lets try this | Its worth a try
2025-03-13,14.3,27,"Softwarecatalogus, openregister",09:06,22:01,Bit on the docs | Lets get the old config back into place | object updates | Link fixes | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Fix broken link | Fix broken imports | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Spelling fix | Wierd ass broken link | Remove unfixalbe link | Remove moddels | Lets try to remove some broken links | Many more link fixes | Found the broken md ...
2025-03-14,9.8,66,opencatalogi,10:39,17:07,Clean up de basic docs folder | Clean up de basic docs folder | activating mermaid | activating mermaid | Lets update docusaurus | Lets update docusaurus | Merge remote-tracking branch 'origin/development' into documentation | Merge remote-tracking branch 'origin/development' into documentation | Fixing the broken links | Fixing the broken links | Lets do a packadge update | Lets do a packadge update | Fix breaks in zoeken | Fix breaks in zoeken | Really | Really | Stil some doc fixes | Stil ...
2025-03-18,14.7,8,"Softwarecatalogus, openregister",08:08,22:24,Add invertedBy functionality | Ad inverted by | Bit of code clean up | Bit more logic | Merge branch 'development' into documentation | Update meeting date in Project Bijeenkomst document to 18/03/2025 and add new agenda item regarding  | Lets add tabs | Lets update the object docs
2025-03-19,12.1,3,openregister,09:47,21:43,Trying to do a good job on the core documentation | bracket fix | Test
2025-03-25,4.2,8,openregister,10:15,14:00,Fix the add object modal | Merge branch 'feature/REGISTERS-128/generic/controllers' of https://github.com/ConductionNL/OpenRegi | Fixes on object save | Merge branch 'feature/REGISTERS-128/generic/controllers' of https://github.com/ConductionNL/OpenRegi | Filter fix for correctly setting the data | Fixes for properly setting the object self values in the frontend | Prepping audit trails for uuid's | Fixed the audit trails
2025-03-26,2.5,3,"Softwarecatalogus, openregister",13:52,16:15,Updating the technical documentation | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Small fix on modal render
2025-03-31,8.8,13,"Softwarecatalogus, openregister",13:31,21:40,Add Cursor Rules | First roud of cleanup | Add modules | Add docs for modules | Merge branch 'main' into documentation | Make it a markdown file | Handleiding AMEF uploaden | Fix the images | Afbeeldingen werkend maken | Better image urls | Working images | Add audit trail view description | Voorberijding agenda project bijeenkomst
2025-04-02,15.7,27,openregister,08:29,22:50,Making slugs addible en style fixes on the file service | Making slugs edible form frontend | Add php cs fixes to the repository | Lets run php cs fixer | Last of the php cs fixer issues | Getting cs-fixer to agree with phpcs | Hmm looks like phpc and cs fixer stil have some diverend opinions | Down to 1860 errors :'( | Stil doing config on php cs fixer | Still on the linting | Oke down to 1092 | All the more linting | Getting nuts | Wierd bu necessary fix | Bug fix | Fixed exception folder |...
2025-04-08,4.0,4,openregister,16:57,20:44,Getting the tabse in the files view to work | Merge branch 'code-refactor/ObjectService' of https://github.com/ConductionNL/OpenRegisters into cod | Lets use a notecard is noting can be found | Fixed getting proper relations
2025-04-16,2.0,1,openregister,09:30,09:30,500 fix
2025-04-18,6.5,22,"opencatalogi, openregister",09:47,15:12,Getting the cataloge en publications to wrok in the new styling | Getting the cataloge en publications to wrok in the new styling | Fix on edit schema | Fix on edit schema | Fixing the publication routes | Fixing the publication routes | Dealing with searching in multiple registers and schema's at once | Getting the external endpoints to work | Getting the external endpoints to work | Merge remote-tracking branch 'origin/refactor/openregisters-0.2/frontend' into refactore/openregiste | Merge ...
2025-04-22,11.9,9,"opencatalogi, openregister",08:33,20:00,Fixie | Fixie | Updates to the example woo register | Merge branch 'feature/REGISTERS-4/configuraties' of https://github.com/ConductionNL/OpenRegisters in | Fixing the oas generation | Linting fixes | Lets allow the import of cofigurations with object without schema or register | Fix for totals | Lets do a build
2025-05-05,16.1,11,openregister,08:22,23:54,Schema details page | Sidebar console error fixes | Start work on file handling | Fix tags and unset self on save | fixing the tags controller | Fixed uploading files (the get send and stored but not retrieved) | Ammend | Cleanup | Getting the details in the view up and running | No more npm linting errors | Php styling fixes
2025-05-07,2.0,1,woo-website,08:36,08:36,Api specifications for open catalogi en woo
2025-05-09,2.1,2,openregister,11:34,11:38,Fix for adding objects to the export | Merge pull request #373 from ConductionNL/fix/object-export
2025-05-20,3.8,6,"opencatalogi, openregister",11:49,15:20,Fixes on run error's from open catalogi that clutter the logs | Fixes on run error's from open catalogi that clutter the logs | Merge remote-tracking branch 'origin/beta' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/beta' into hotfix/zuiddrecht | Merge pull request #395 from ConductionNL/hotfix/zuiddrecht | Merge pull request #399 from ConductionNL/hotfix/import-register
2025-05-21,2.1,2,opencatalogi,14:27,14:27,Merge remote-tracking branch 'origin/refactore/openregisters-0.2' into hotfix/zuiddrecht | Merge remote-tracking branch 'origin/refactore/openregisters-0.2' into hotfix/zuiddrecht
2025-05-22,5.0,7,openregister,10:14,14:50,Zetting up the ZaakRegister project | Aanvullingen naar aanleiding meeting project plan bijgeschaafd | Beetje extra context | Potlood planning toegevoegd | ZGW Specs toegevoegd | publishing and depublishing objects | Fixed to ZRC
2025-05-23,2.1,2,opencatalogi,11:07,11:07,Catalogi endpoint | Catalogi endpoint
2025-05-28,10.3,8,"opencatalogi, openregister",11:23,21:16,Lets make sure we include the current  when creating the group | Making unpublished applications available for the backend | Making unpublished applications available for the backend | Merge pull request #419 from ConductionNL/hotfix/zuiddrecht | Merge pull request #253 from ConductionNL/hotfix/zuiddrecht | Merge pull request #253 from ConductionNL/hotfix/zuiddrecht | Merge remote-tracking branch 'origin/development' into hotfix/zuiddrecht | First draft of delete and logs menu items
2025-06-03,5.8,7,"opencatalogi, openconnector, openregister",08:35,14:02,Merge branch 'hotfix/zuiddrecht' into refactore/openregisters-0.2 | Merge branch 'hotfix/zuiddrecht' into refactore/openregisters-0.2 | hotfix/menu-pages-controllers | hotfix/menu-pages-controllers | setting the object identifieng tag should be part of the open registers file service | Lets introduce an more easy save function | Working on label removal
2025-06-11,2.1,3,openconnector,13:06,13:07,Preparing the stores | Merge remote-tracking branch 'origin/feature/zaakreg-67/validate-external-objects' into hotfix/zuidr | Merge remote-tracking branch 'origin/feature/GW-1852/drc-test-results' into hotfix/zuidrecht-2
2025-06-13,5.8,10,opencatalogi,10:43,16:00,Add used/uses to publications | Add used/uses to publications | Fix for uses/used | Fix for uses/used | Fix for uses/used | Fix for uses/used | fixed results | Oh noooz | fixed results | Oh noooz
2025-06-20,7.8,11,"opencatalogi, openconnector, openregister",08:46,16:02,More wrapper :( | Refactoring the file rights handling | Merge pull request #443 from ConductionNL/hotfix/file-storage | Dealing with both file paths and id's | Lets properly unset files if the labels are unset | Merge pull request #525 from ConductionNL/hotfix/filesync | Merge pull request #444 from ConductionNL/hotfix/file-storage | Merge pull request #445 from ConductionNL/development | Merge pull request #526 from ConductionNL/development | Merge pull request #277 from ConductionNL/develo...
2025-06-27,6.5,11,opencatalogi,09:33,15:27,Lets lounch our brand new designs | Update the modals to say publication instead of object | Fixes to the publication table | Add and update the modals | Merge pull request #296 from ConductionNL/feature/federation | Fixed creating publications | Merge pull request #297 from ConductionNL/feature/federation | Fix pagination | Many fixes | Yolo | Merge pull request #298 from ConductionNL/feature/federation
2025-07-11,2.9,4,opencatalogi,08:32,11:14,Integratoin level hotfix | Merge remote-tracking branch 'origin/development' into feature/federation | Merge pull request #322 from ConductionNL/feature/federation | Lets update the files based on id
2025-07-17,2.0,1,opencatalogi,14:28,14:28,Merge pull request #324 from ConductionNL/development
2025-07-30,2.0,1,opencatalogi,08:01,08:01,Lets at starting data to Open Catalogi
2025-08-14,13.6,11,opencatalogi,09:25,22:25,Merge remote-tracking branch 'origin/development' into hotfix/cors | Trying to mkae the page work | Updating the menu items | Last updated | Merge remote-tracking branch 'origin/development' into hotfix/cors | Merge pull request #330 from ConductionNL/hotfix/cors | Merge remote-tracking branch 'origin/feature/OP-511/ugly-spacing' into hotfix/cors | Fixed getting user groups | Merge remote-tracking branch 'origin/feature/OP-511/ugly-spacing' into hotfix/cors | Working on the modal | Merge pull...
2025-09-18,2.2,4,opencatalogi,09:43,10:15,hotfix: force slug searching to use database source | Merge pull request #354 from ConductionNL/hotfix/slug-searching-database | fix: correct array syntax in PagesController slug search | Merge pull request #355 from ConductionNL/hotfix/slug-searching-database
2025-09-29,11.2,6,opencatalogi,10:42,21:36,feat: enhance publication management and controller improvements | merge: resolve conflicts with remote development branch | docs: improve README description for publication management capabilities | Merge pull request #359 from ConductionNL/feature/enhance-publication-management | feat(schemas): set all publication register schemas to searchable=true | Merge pull request #360 from ConductionNL/feature/enhance-publication-management
2025-10-10,2.1,2,opencatalogi,10:36,10:39,Config fix | Merge pull request #369 from ConductionNL/feature/enhance-publication-management
