date,hours,commits,repos,first_commit,last_commit,commit_messages
2025-01-07,2.0,1,openregister,20:44,20:44,Add events
2025-01-11,3.0,3,openconnector,12:28,15:20,Add rules to open connector | Setting the frontend code | More frontend work
2025-01-12,10.0,11,openconnector,14:33,23:59,First bit of testing on rules | Basic frontend crud testing | Lets try to add dropdowns | Console error fix | Fixes from testing | Still getting the model to behave | Last modal fixes | Merge remote-tracking branch 'origin/development' into feature/CONNECTOR-52/cloud-events | Fixing the endpoint object | Add the tabs | Add rule dialog
2025-01-13,11.4,7,openconnector,00:10,11:13,Fixed adding rules to endpoints | Small fixed | Docs | Update the rules logic in the endpoint service | Let round up the rules logic | add authentication and dowloads to ui en documentation | Add upload and locking frontend
2025-01-18,3.5,4,openconnector,09:41,13:00,Add forcing tho synchronysation service | Updated the synchronysation docs for force | More clearity in the login of synchronysation results | Merge tag 'v0.1.38' into feature/CONNECTOR-155/action-menu-same
2025-01-19,2.0,1,openconnector,21:53,21:53,First testing
2025-01-30,2.1,2,opencatalogi,20:30,20:30,Merge remote-tracking branch 'origin/development' into feature/IBOC-99/objects-controller | Merge remote-tracking branch 'origin/development' into feature/IBOC-99/objects-controller
2025-02-04,21.2,13,"Softwarecatalogus, openregister",02:11,22:45,Create 20250204_Project_bijeenkomst.md | Update README.md | Project opzet | Epics en issues | Update 20250204_Project_bijeenkomst.md | First opzet personalia | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Update technical-architecture.md | Merge branch 'documentation' | Lets document the shizle out of this | The more the marier | Merge branch 'documentation-ibds' | Merge branch 'main' into documentation-ibds
2025-02-08,6.1,19,openregister,07:33,12:44,Lets add docusaurus | Fix on docusaurus build | Lets retry this | Use latest for docusaurus build | Lets retry the config file | Proper version | Feels wierd but lets try it | Moving the sidebar and docs into place | This should add the css | Add intro | Lets add the diagrams | Fix for puml | Removed non functioning image | Puml update | Remove broken link | Merge branch 'documentation' of https://github.com/ConductionNL/OpenRegisters into documentation | Remove data-extension | Hunting broke...
2025-02-12,8.3,18,"opencatalogi, openconnector, openregister",07:41,15:05,Update the file service to always work on the OpenCatalogi user | Add an add file function to the object and file service | Merge remote-tracking branch 'origin/development' into feature/REGISTERS-104/file-function | Merge pull request #179 from ConductionNL/feature/REGISTERS-104/file-function | First draft for documentation | Merge remote-tracking branch 'origin/documentation' into documentation | Fixing the try catch | Merge pull request #182 from ConductionNL/hotfix/try-catch-error | Force...
2025-02-16,11.8,5,"Softwarecatalogus, openconnector",10:28,21:58,Upload examples | Merge branch 'main' of https://github.com/VNG-Realisatie/softwarecatalogus | Gemma Release test | Merge remote-tracking branch 'origin/development' into documentation | Test data fix
2025-02-17,23.9,31,"Softwarecatalogus, opencatalogi, openconnector, openregister",01:21,23:42,Add XML import support for open connector | Kleine aanpassing test ebstand + agenda project bijeenkomst | Lets setup the code for file handling | Lets add the actual taging logic | Merge remote-tracking branch 'origin/development' into feature/IBOC-154/file-taging | Code fixes afther bad merge | fixed missing array | Zin naar Nederlands | Merge pull request #221 from ConductionNL/feature/VSC-179/xml-import | Merge pull request #220 from ConductionNL/development | Merge branch 'development' in...
2025-02-18,16.5,43,"Softwarecatalogus, opencatalogi, openregister",07:56,22:15,"Fix CNAME and style | Fix CNAME and style | Fix CNAME and style | Update 20250218_Project_bijeenkomst.md | Update 20250218_Project_bijeenkomst.md | Update 20250218_Project_bijeenkomst.md | Remove guest user | Remove guest user | Merge pull request #194 from ConductionNL/feature/REGISTERS-112/remove-guest-acount | Merge pull request #194 from ConductionNL/feature/REGISTERS-112/remove-guest-acount | File, Audit trails and note refactor | File, Audit trails and note refactor | Hotfix on the old ..."
2025-02-23,3.5,2,openregister,17:55,21:16,Merge remote-tracking branch 'origin/development' into documentation | Best workflow
2025-02-28,4.8,21,"opencatalogi, openregister",07:22,11:08,Fixed empty tags off case | There might be other error prefenting finding a tag | This should fix the tag issues | Lets allow an empty tag array so that user can set tags to zero | Lets allow an empty tag array so that user can set tags to zero | Code for getting al the tags | Add the route to get all the tags | Add the route to get all the tags | Merge branch 'feature/VSC-190/pagination' of https://github.com/ConductionNL/opencatalogi into featu | Merge branch 'feature/VSC-190/pagination' of...
2025-03-04,4.3,2,Softwarecatalogus,07:54,12:05,Merge remote-tracking branch 'origin/main' into documentation | Notities
2025-03-07,2.9,7,"Softwarecatalogus, opencatalogi, openregister",07:42,10:12,Small api name fix | Merge branch 'documentation' of https://github.com/VNG-Realisatie/softwarecatalogus into documentati | Documentation updates | Add search endpoint | Add search endpoint | New api docs | New api docs
2025-03-12,2.0,1,Softwarecatalogus,22:52,22:52,Update schema definitions
2025-03-15,12.8,15,"Softwarecatalogus, opencatalogi, openregister",00:25,12:28,Update to docusarus 3 | Update to docusarus 3 | Update to docusarus 3 | Update to docusarus 3 | Add lock | Add lock | Add lock | Add lock | Lets rerunn | Tet 1 | Lets try to fix this | Move api to proper possition | Move api to proper possition | More fixes | Small fixes
2025-03-17,6.3,18,"Softwarecatalogus, openregister",06:54,12:18,Tijdenlijke lijst met referentie componenten | lets add the api documentation | Add digital decade | Better naming | Typo fix | Remove name | Removed broken reference | Remove broken reference | Fix acorn | Fix duble page | Another acorn fix | Api schema test | Lets try api specs | Lets roll | voorzieningType fix | All of the tabs | Add missing tab closure | Add another missing tab clodure
2025-03-20,11.4,32,openregister,07:01,16:52,Lets clean up the docs a bit more | Merged all the documentation | Update the intro page | Remove broken links | Trying to properly get the OAS to work | Mermaid test | This would be cool... | Add fields en filter functionality | Lets add extend | Lets suport this on the primary endpoinst | Merge branch 'feature/VSC-226/inversedBy' into documentation | Bit more work on the object page | Went trough al the objects documentation | File typo | Fixed wrongdoing in the header | Lets keep on workin...
2025-03-21,10.6,11,openregister,06:24,16:27,Lets set up slug based controllers | Bit of code fixing | Lets refactor the frontend for the new urls | Merge remote-tracking branch 'origin/feature/VSC-226/inversedBy' into feature/REGISTERS-128/generic/ | Ad search profider for REGISTERS-125 | REGISTERS-125 Add search controller | minor code fixes | minor code fixes | Lets add developers documentation | Remove failed experiment | Quick fix on intro
2025-03-22,13.4,14,openregister,10:14,22:59,More work on the table pages | Working on the table page | Nice note card display | Code refactoring | Fixed setting register and schema from the searchsidebar | Fix for selects displaying undefined | Add the text search input | Styling fixes | Making the collums work | Corretly loop trough properties | Small frontend fixes | Fixed the action menu | Let quickly fix soft deleted | Set owner and application
2025-03-23,12.9,6,openregister,08:44,21:18,Bit of linting fixes | Lets add the extra views for our new found functionality | Fix view dialog | First draft of the view modal | Fix code mirror in the object view | Cleanop the view dialog
2025-03-24,6.9,3,openregister,07:53,14:38,Working on refactoring saving objects | Last fixes for getting the edit to work | Fix for duplicate object  creation
2025-03-27,2.0,1,openregister,07:18,07:18,- Database cleanup
2025-04-01,10.4,8,openregister,04:29,14:32,Merge remote-tracking branch 'origin/feature/REGISTERS-128/generic/controllers' into code-cleanup | phpcs on all DB items | tested the code until here | PHPCS Fixes | PHPCS cleanup | Remove unwanted code | Fix throw spacing | Line endings
2025-04-03,8.0,15,openregister,04:14,11:30,Lets restart | Fix indentation | first snif | Remove cs fixer | More sniff | All to the sniff | Down to 371 | Inline coment fix | Remove extend entity | Manual fixes | Fixing the throws | More small fixes | Wie het kleine niet eerd | Small fixes | This feels save enough to try
