"id","type","organisatieType","samenwerkingtype","naam","website","e-mailadres","telefoonnummer","cbsCode","deelnemers","status","sector","geregistreerd_door","@self.organisation","@self.published"
"1f41e9e0-ac4d-471d-850a-9c083103667d",Gemeente,Gemeente,,'s-Gravenhage,https://www.denhaag.nl,test.vng.swc+Bre@gmail.com,+31 23 4567890,"0518",,Actief,Gemeenten,Gemeente,"1f41e9e0-ac4d-471d-850a-9c083103667d","2014-03-26T10:13:27+00:00"
"8c3363d7-2269-49fd-ac71-5b4e9b809ed3",Gemeente,Gemeente,,'s-Hertogenbosch,https://www.s-hertogenbosch.nl,test.vng.swc+W@gmail.com,+31 23 4567890,"0796",,Actief,Gemeenten,Gemeente,"8c3363d7-2269-49fd-ac71-5b4e9b809ed3","2014-03-26T10:13:27+00:00"
f7db0bc8-ec7a-4aa9-902e-51a23f7bce51,Gemeente,Gemeente,,Aa en Hunze,https://www.aaenhunze.nl,test.vng.swc+Emu@gmail.com,+31 23 4567890,"1680",,Actief,Gemeenten,Gemeente,f7db0bc8-ec7a-4aa9-902e-51a23f7bce51,"2014-03-26T10:13:27+00:00"
e1863e39-a0d3-4384-b359-a3f0d98af2c8,Gemeente,Gemeente,,Aalsmeer,,test.vng.swc+L@gmail.com,+31 23 4567890,"0358",,Actief,Gemeenten,Gemeente,e1863e39-a0d3-4384-b359-a3f0d98af2c8,"2014-03-26T10:13:27+00:00"
"53873206-6267-4cc5-b24a-726e0e013ac3",Gemeente,Gemeente,,Aalten,https://www.aalten.nl,test.vng.swc+E@gmail.com,+31 23 4567890,"0197",,Actief,Gemeenten,Gemeente,"53873206-6267-4cc5-b24a-726e0e013ac3","2014-03-26T10:13:27+00:00"
"4b441630-bc37-4337-9908-b3ffeaf5393a",Gemeente,Gemeente,,Achtkarspelen,https://www.achtkarspelen.nl,test.vng.swc+H@gmail.com,+31 23 4567890,"0059",,Actief,Gemeenten,Gemeente,"4b441630-bc37-4337-9908-b3ffeaf5393a","2014-03-26T10:13:27+00:00"
d4e731d8-263d-4b94-aeb0-cfaee2fdf18e,Gemeente,Gemeente,,Alblasserdam,,test.vng.swc+Mlc@gmail.com,+31 23 4567890,"0482",,Actief,Gemeenten,Gemeente,d4e731d8-263d-4b94-aeb0-cfaee2fdf18e,"2014-03-26T10:13:27+00:00"
ea661217-960b-45af-9f80-758534be782c,Gemeente,Gemeente,,Albrandswaard,,test.vng.swc+P@gmail.com,,"0613",,Actief,Gemeenten,Gemeente,ea661217-960b-45af-9f80-758534be782c,"2014-03-26T10:13:27+00:00"
"9e903d5f-9d6e-42f6-8c40-43ef3f1cd3d6",Gemeente,Gemeente,,Alkmaar,https://www.alkmaar.nl,test.vng.swc+Rvr@gmail.com,+31 23 4567890,"0361",,Actief,Gemeenten,Gemeente,"9e903d5f-9d6e-42f6-8c40-43ef3f1cd3d6","2014-03-26T10:13:27+00:00"
d55fabda-c229-491d-a9f6-a339bb89f736,Gemeente,Gemeente,,Almelo,https://www.almelo.nl,test.vng.swc+G@gmail.com,+31 23 4567890,"0141",,Actief,Gemeenten,Gemeente,d55fabda-c229-491d-a9f6-a339bb89f736,"2014-03-26T10:13:27+00:00"
"1f66615f-fa81-44f6-92e3-eadac6b11eca",Gemeente,Gemeente,,Almere,https://www.almere.nl,test.vng.swc+Jmk@gmail.com,+31 23 4567890,"0034",,Actief,Gemeenten,Gemeente,"1f66615f-fa81-44f6-92e3-eadac6b11eca","2014-03-26T10:13:27+00:00"
"19aa7eda-1fcb-4af7-8fc3-b31d44597b63",Gemeente,Gemeente,,Alphen aan den Rijn,https://www.alphenaandenrijn.nl,test.vng.swc+Hvd@gmail.com,+31 23 4567890,"0484",,Actief,Gemeenten,Gemeente,"19aa7eda-1fcb-4af7-8fc3-b31d44597b63","2014-03-26T10:13:27+00:00"
c4777164-8768-494f-8b74-ce090653063d,Gemeente,Gemeente,,Alphen-Chaam,https://www.alphen-chaam.nl,test.vng.swc+Maa@gmail.com,+31 23 4567890,"1723",,Actief,Gemeenten,Gemeente,c4777164-8768-494f-8b74-ce090653063d,"2014-03-26T10:13:27+00:00"
"5cdb1948-e731-4906-904e-f5e427ee28dc",Gemeente,Gemeente,,Altena,,test.vng.swc+J@gmail.com,,"1959",,Actief,Gemeenten,Gemeente,"5cdb1948-e731-4906-904e-f5e427ee28dc","2019-02-19T13:01:26+00:00"
