Date,Day,Weekend,Worked,Hours,Commits,Start Time,End Time,Work Summary
2024-10-01,Tuesday,No,Yes,3.0,10,21:29,23:11,Merge branch 'feature/working-pages' of https://github.com/C; Merge branch 'feature/working-pages' of https://github.com/C; Thats a wierd bug to mis ... (+7 more commits)
2024-10-02,Wednesday,No,Yes,3.0,10,22:02,23:48,Getting the objects to work; Getting the objects to work; Merge branch 'feature/working-pages' of https://github.com/C ... (+7 more commits)
2024-10-03,Thursday,No,Yes,3.0,4,21:48,21:50,Merge remote-tracking branch 'origin/feature/REGISTERS-8/rem; Merge remote-tracking branch 'origin/feature/REGISTERS-8/rem; Source verwijderd op schema ... (+1 more commits)
2024-10-04,Friday,No,No,0.0,0,,,No commits
2024-10-05,Saturday,Yes,No,0.0,0,,,Weekend - no work
2024-10-06,Sunday,Yes,No,0.0,0,,,Weekend - no work
2024-10-07,Monday,No,Yes,3.0,10,20:52,22:24,Final work on uploading schema's; Final work on uploading schema's; Store update ... (+7 more commits)
2024-10-08,Tuesday,No,Yes,3.0,2,22:17,22:17,Load complete oas definitions; Load complete oas definitions
2024-10-09,Wednesday,No,No,0.0,0,,,No commits
2024-10-10,Thursday,No,No,0.0,0,,,No commits
2024-10-11,Friday,No,No,0.0,0,,,No commits
2024-10-12,Saturday,Yes,No,0.0,0,,,Weekend - no work
2024-10-13,Sunday,Yes,No,0.0,0,,,Weekend - no work
2024-10-14,Monday,No,No,0.0,0,,,No commits
2024-10-15,Tuesday,No,No,0.0,0,,,No commits
2024-10-16,Wednesday,No,No,0.0,0,,,No commits
2024-10-17,Thursday,No,No,0.0,0,,,No commits
2024-10-18,Friday,No,No,0.0,0,,,No commits
2024-10-19,Saturday,Yes,Yes,3.0,8,20:27,22:48,Merge branch 'feature/saterday-night-fixes'; Merge branch 'feature/saterday-night-fixes'; Check if colums exsist... ... (+5 more commits)
2024-10-20,Sunday,Yes,Yes,3.7,4,21:07,00:52,Added loging logic; Added loging logic; Fixing the deletion of objects ... (+1 more commits)
2024-10-21,Monday,No,No,0.0,0,,,No commits
2024-10-22,Tuesday,No,Yes,3.0,2,21:31,21:31,Merge remote-tracking branch 'origin/feature/EGISTERS-40/obj; Merge remote-tracking branch 'origin/feature/EGISTERS-40/obj
2024-10-23,Wednesday,No,No,0.0,0,,,No commits
2024-10-24,Thursday,No,No,0.0,0,,,No commits
2024-10-25,Friday,No,No,0.0,0,,,No commits
2024-10-26,Saturday,Yes,No,0.0,0,,,Weekend - no work
