date,issue_key,issue_id,hours,description,original_hours,colleague_project
2025-01-02,CON-1461,14054,5.0,Development work - Working on issue CON-1461,4.0,CON
2025-01-03,CON-2272,17866,3.5,Development work - Working on issue CON-2272,2.0,CON
2025-01-03,BKISS-101,29206,0.88,Development work - Review,2.0,BKISS
2025-01-03,BKISS-129,29391,1.75,Development work - Review,2.0,BKISS
2025-01-03,BKISS-144,29656,0.88,Development work - Review,2.0,BKISS
2025-01-08,BKISS-152,29683,1.75,Development work - review,2.0,BKISS
2025-01-08,OP-428,28877,0.88,Development work - review,2.0,OP
2025-01-08,IBOC-86,29769,4.38,Development work - Working on issue IBOC-86,2.0,IBOC
2025-01-09,BKISS-152,29683,0.88,Development work - Review,2.0,BKISS
2025-01-09,CONNECTOR-175,29697,1.75,Development work - Working on issue CONNECTOR-175,2.0,CONNECTOR
2025-01-09,CONNECTOR-172,29694,4.38,Development work - Working on issue CONNECTOR-172,2.0,CONNECTOR
2025-01-13,S20-101,29734,0.88,Development work - Working on issue S20-101,2.0,S20
2025-01-13,CONNECTOR-175,29697,1.75,Development work - Working on issue CONNECTOR-175,2.0,CONNECTOR
2025-01-13,CONNECTOR-52,28578,1.75,Development work - review,2.0,CONNECTOR
2025-01-13,BKISS-146,29677,1.31,Development work - review,2.0,BKISS
2025-01-13,BKISS-127,29389,1.31,Development work - review,2.0,BKISS
2025-01-14,CONNECTOR-175,29697,2.62,Development work - Working on issue CONNECTOR-175,2.0,CONNECTOR
2025-01-14,IBOC-25,29271,3.5,Development work - Working on issue IBOC-78,2.0,IBOC
2025-01-14,CONNECTOR-52,28578,0.88,Development work - Working on issue CONNECTOR-52,2.0,CONNECTOR
2025-01-15,IBOC-79,29759,3.5,Development work - Working on issue IBOC-79,2.0,IBOC
2025-01-15,IBOC-83,29763,0.44,Development work - Working on issue IBOC-83,2.0,IBOC
2025-01-15,IBOC-82,29762,0.44,Development work - Working on issue IBOC-82,2.0,IBOC
2025-01-15,IBOC-85,29765,0.88,Development work - Working on issue IBOC-85,2.0,IBOC
2025-01-15,IBOC-81,29761,0.88,Development work - Working on issue IBOC-81,2.0,IBOC
2025-01-15,IBOC-80,29760,0.88,Development work - Working on issue IBOC-80,2.0,IBOC
2025-01-16,IBOC-25,29271,0.96,Development work - Working on issue IBOC-25,6.8,IBOC
2025-01-16,IBOC-95,29779,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-94,29778,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-93,29776,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-92,29775,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-91,29774,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-90,29773,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-89,29772,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-88,29771,0.14,Development work - issue aanmaken,6.8,IBOC
2025-01-16,IBOC-87,29770,0.14,"Development work - issue aanmaken
",6.8,IBOC
2025-01-17,IBOC-107,29791,1.5,Development work - Working on issue IBOC-107,4.2,IBOC
2025-01-17,IBOC-99,29782,0.6,Development work - Working on issue IBOC-99,4.2,IBOC
2025-01-17,CON-2318,19049,0.6,Development work - Working on issue CON-2318,4.2,CON
2025-01-17,NDT-62,29822,2.1,Development work - Let op nog geen account,4.2,NDT
2025-01-20,IBOC-89,29772,1.07,Development work - Working on issue IBOC-89,4.2,IBOC
2025-01-20,IBOC-94,29778,0.53,Development work - Working on issue IBOC-94,4.2,IBOC
2025-01-20,IBOC-78,29747,0.53,Development work - Working on issue IBOC-78,4.2,IBOC
2025-01-20,IBOC-107,29791,0.53,"Development work - Activity: Jira, Changed Status",4.2,IBOC
2025-01-20,IBOC-92,29775,2.13,Development work - Working on issue IBOC-92,4.2,IBOC
2025-01-21,IBOC-89,29772,1.56,Development work - Working on issue IBOC-89,2.0,IBOC
2025-01-21,IBOC-90,29773,1.56,Development work - Working on issue IBOC-90,2.0,IBOC
2025-01-21,IBOC-88,29771,0.78,Development work - Working on issue IBOC-88,2.0,IBOC
2025-01-21,IBOC-107,29791,2.33,"Development work - Activity: Jira, Changed Status",2.0,IBOC
2025-01-21,IBOC-92,29775,0.78,Development work - Working on issue IBOC-92,2.0,IBOC
2025-01-24,IBOC-111,29795,0.58,Development work - Working on issue IBOC-111,8.0,IBOC
2025-01-24,CONNECTOR-179,29714,0.16,Development work - Review,8.0,CONNECTOR
2025-01-24,PAR-138,11022,0.26,Development work - Working on issue PAR-138,8.0,PAR
2025-01-27,CONNECTOR-179,29714,3.0,Development work - Working on issue CONNECTOR-179,4.2,CONNECTOR
2025-01-27,CONNECTOR-179,29714,1.8,Development work - Vragen gesteld op andere issues,4.2,CONNECTOR
2025-01-31,PAR-138,11022,7.0,Development work - Working on issue PAR-138,2.0,PAR
2025-02-05,CON-2272,17866,2.62,Development work - Working on issue CON-2272,2.0,CON
2025-02-05,CONNECTOR-192,29731,1.75,Development work - Working on issue CONNECTOR-192,2.0,CONNECTOR
2025-02-05,BKISS-147,29678,2.62,Development work - Working on issue PC108-147,2.0,BKISS
2025-02-10,IBOC-144,30115,0.44,Development work - Issue maken,2.0,IBOC
2025-02-10,BKISS-137,29399,6.56,Development work - Working on issue BKISS-137,2.0,BKISS
2025-02-11,IBOC-140,29938,1.0,Development work - Working on issue IBOC-140,8.0,IBOC
2025-02-12,NDT-63,30069,0.41,Development work - Migrato,7.9,NDT
2025-02-12,IBOC-146,30128,0.69,Development work - Working on issue IBOC-146,7.9,IBOC
2025-02-17,IBOC-154,30187,1.8,"Development work - Activity: Jira, Commented",7.2,IBOC
2025-02-18,IBOC-154,30187,0.7,"Development work - Activity: Jira, Commented",6.2,IBOC
2025-02-18,IBOC-154,30187,1.2,Development work - Overwerk,6.2,IBOC
2025-02-18,IBOC-154,30187,0.3,Development work - Equalit,6.2,IBOC
2025-02-18,NDT-63,30069,0.6,Development work - Working on issue NDT-63,6.2,NDT
2025-02-19,IBOC-154,30187,7.0,"Development work - Activity: Jira, Commented",2.0,IBOC
2025-02-24,REGISTERS-116,30207,0.81,Development work - Activity: Jira,2.5,REGISTERS
2025-02-24,REGISTERS-119,30235,0.81,"Development work - Activity: Jira, Created",2.5,REGISTERS
2025-02-24,IBOC-169,30237,0.81,"Development work - Activity: Jira, Created",2.5,IBOC
2025-02-24,REGISTERS-116,30207,0.81,"Development work - Activity: Jira, Changed Status",2.5,REGISTERS
2025-02-24,IBOC-163,30212,3.25,Development work - Working on issue IBOC-163,2.5,IBOC
2025-02-25,VSC-187,30247,0.36,Development work - Working on issue VSC-187,6.1,VSC
2025-02-25,VSC-193,30273,0.36,Development work - Working on issue VSC-193,6.1,VSC
2025-02-25,VSC-192,30272,0.36,Development work - schrijven en testen,6.1,VSC
2025-02-25,VSC-191,30251,0.36,Development work - schrijven en testen,6.1,VSC
