hash,author,date,repo,subject,project,confidence,automated
e849aae8bb496c3c33f6eae420d36e1d0c574b44,Remko Huisman,2025-12-29T11:54:55+01:00,opencatalogi,Merge pull request #404 from ConductionNL/fix/proper-eslint,14283/119/01,low,true
f656cd18693dc6aef6e9524a2eec2bfae734f0ce,Barry Brands,2025-12-24T17:08:59+01:00,opencatalogi,check for schemas,14283/119/02,medium,false
9027afffdde505b143e64ff13897a61b5e092492,Thijn,2025-12-23T14:02:41+01:00,opencatalogi,fixed eslint,14283/119/01,low,false
77a36083e8293acff6a79980348b7926cf017ef6,Ruben van der Linde,2025-12-19T11:36:43+01:00,opencatalogi,Lets fix the federation service,14283/119/02,high,false
abbd3d0adfb6d2034e1ed69c4c28101c5d9251f1,Ruben van der Linde,2025-12-19T09:02:24+01:00,opencatalogi,hotfix/schemas,14283/119/02,medium,false
eb66c48f756665e68071b0ba784f8aac5d01603c,Ruben van der Linde,2025-12-19T07:43:40+01:00,opencatalogi,Merge remote-tracking branch 'origin/fix/federation' into development,14283/119/02,high,true
afa8b6ebd6b56c7f017d4dc01feed443407ab9e0,Wilco Louwerse,2025-12-18T16:24:04+01:00,opencatalogi,Some fixes for setting up federation,14283/119/02,high,false
160799230277c5c39e5720311f0b15a674ebd1c3,Ruben van der Linde,2025-12-18T09:55:52+01:00,opencatalogi,Merge pull request #402 from ConductionNL/hotfix/tooling,14283/119/02,low,true
71065611079d0be20a5d4633fc749c0f7db27c06,Ruben van der Linde,2025-12-18T09:55:15+01:00,opencatalogi,Continue code cleanup setup,14283/119/01,low,false
6bd0fc17fd997ec24689346adde7890007f93565,Ruben van der Linde,2025-12-18T09:22:50+01:00,opencatalogi,Let prepare for code cleanup,14283/119/01,low,false
7029ddf04225620bed2cdfe75ac7997a39e3f549,Ruben van der Linde,2025-12-18T08:49:33+01:00,opencatalogi,Merge remote-tracking branch 'origin/development' into hotfix/tooling,14283/119/02,low,true
1fdf5a90cde6a304d4072707abd988956439e029,Ruben van der Linde,2025-12-17T13:21:57+01:00,opencatalogi,Merge pull request #401 from ConductionNL/fix/swc-331/change-rights-of-used-endpoint,14283/120/01,high,true
17a9bd643d414efe4624c3fa6e22790e767c4fa6,Robert Zondervan,2025-12-17T13:21:40+01:00,opencatalogi,Remove parameters that are set to default values,14283/120/02,high,false
4c2bcf03d2d3c61142807c1576d6943e074c4e9d,Robert Zondervan,2025-12-17T12:10:23+01:00,opencatalogi,Change rights of used endpoint to use rbac and multitenancy,14283/120/01,high,false
e36f5f4859eb39ed0b07b47296ed6809ca4ab33c,Barry Brands,2025-12-11T11:32:10+01:00,opencatalogi,Merge pull request #394 from ConductionNL/feature/robots-and-sitemaps,14283/119/02,medium,true
4a5cbec784ca408925a5feb0e555a1c348bd99cc,Barry Brands,2025-12-11T11:11:37+01:00,opencatalogi,Add hasWooSitemap to frontend,14283/119/02,medium,false
fee15b5ca1e313fcadfb0d92d53afbb94698bdf1,Barry Brands,2025-12-11T11:11:13+01:00,opencatalogi,Add sitemap pagination,14283/119/02,medium,false
b8e2d1aaceb81e37a96c3abc5aaa1ea7138e9320,Barry Brands,2025-12-11T11:10:39+01:00,opencatalogi,Cleanup RobotsController,14283/119/02,medium,false
