hash,author,date,repo,subject,project,confidence,automated
42fb3ccab7bf56ff9870e42035985a50f1a64ecb,GitHub Action,2025-12-29T10:55:22+00:00,softwarecatalog,Bump version to 0.1.133,14283/119/02,low,true
0cbf8ff179d4f04d4826260665d552fee21a5c91,Remko Huisman,2025-12-29T11:55:09+01:00,softwarecatalog,Merge pull request #150 from ConductionNL/fix/proper-eslint,14283/119/01,low,true
a06339e670e8088fca35a2723757ac1687b72a59,Thijn,2025-12-23T14:24:01+01:00,softwarecatalog,fixed eslint,14283/119/01,low,false
a6c51d851f63da50f92c53587cba8d36a8d37271,GitHub Action,2025-12-19T16:21:30+00:00,softwarecatalog,Bump version to 0.1.132,14283/119/02,low,true
d054921ded6a34a1c7f84f4a190e0853dc87ae7d,Remko Huisman,2025-12-19T17:21:20+01:00,softwarecatalog,Merge pull request #149 from ConductionNL/module-versie,14283/119/02,high,true
fb3beed78b6a445a9f06e5cc99b1f92a3ad26cce,Remko,2025-12-19T17:20:56+01:00,softwarecatalog,Added standaardVersies array,14283/119/02,high,false
1b9013d822de988b5d4de00926a9317eb84067cd,GitHub Action,2025-12-19T16:13:25+00:00,softwarecatalog,Bump version to 0.1.131,14283/119/02,low,true
da7a7e4b8de068dc14d202f8acb5a164f2ca6553,Remko Huisman,2025-12-19T17:13:10+01:00,softwarecatalog,Merge pull request #148 from ConductionNL/module-versie,14283/119/02,high,true
fda326b598f4b4d1f4de94c15b7e50f489ddfc89,Remko,2025-12-19T15:06:32+01:00,softwarecatalog,Module versie update,14283/119/02,high,false
3a3772dfaab08c60486cb3a8c5b8cced911f763f,GitHub Action,2025-12-17T12:28:18+00:00,softwarecatalog,Bump version to 0.1.130,14283/119/02,low,true
8ccc79e80975abd7daaedca6758be025ca9a49c6,Thijn,2025-12-17T13:28:09+01:00,softwarecatalog,Merge pull request #145 from ConductionNL/feature/lint-fixes,14283/119/01,low,true
b5944453161993df7c0e5cf77efe0cf6af1b6b26,Thijn,2025-12-17T13:27:53+01:00,softwarecatalog,better lint fix,14283/119/01,low,false
e8ac7ea471053ece8a0fff64c4b47d5e83368e3b,Thijn,2025-12-17T13:26:33+01:00,softwarecatalog,Merge branch 'main' into feature/lint-fixes,14283/119/01,low,true
602d04d80b1ba8afe5ca657366cc5dfe80304f2a,GitHub Action,2025-12-17T12:26:01+00:00,softwarecatalog,Bump version to 0.1.129,14283/119/02,low,true
60d0f67de520fdabf6667641814d112ca3edf9fc,Thijn,2025-12-17T13:25:46+01:00,softwarecatalog,Merge pull request #144 from ConductionNL/feature/known-password-check,14283/119/02,low,true
869653fa5d6df20f83ced47aebb19d8b794ea273,Thijn,2025-12-17T13:15:18+01:00,softwarecatalog,tightened up the pwned logic,14283/120/02,low,false
be29e3a94a81e4f5411a23ac5c230f8d2fd8b30e,Thijn,2025-12-16T16:33:13+01:00,softwarecatalog,uncommented used code,14283/119/02,low,false
e25a9a537404c9b683047f5ecb95d8bff740560a,Thijn,2025-12-16T16:30:35+01:00,softwarecatalog,I did something really dumb and fixed it,14283/119/02,low,false
dafcbde5f68b95574d894d6769b6dba824c43898,GitHub Action,2025-12-16T12:46:34+00:00,softwarecatalog,Bump version to 0.1.128,14283/119/02,low,true
9e8bf60d0e664bde62b3fb51b0989c95d90119e3,Remko Huisman,2025-12-16T13:46:22+01:00,softwarecatalog,Merge pull request #147 from ConductionNL/remove-kvknummer,14283/119/02,low,true
6970fd8c7855056403ddd3fad6a9a134d8554da5,Remko,2025-12-16T13:42:44+01:00,softwarecatalog,removed KvKnummer from organisatie,14283/119/02,high,false
9bdbd6dead08b4a3c623caa5fd3b83e1dc1cead2,GitHub Action,2025-12-15T11:18:41+00:00,softwarecatalog,Bump version to 0.1.127,14283/119/02,low,true
3d642f7523b56d66e3aa2e7d1aaa4b473208b906,Ruben van der Linde,2025-12-15T12:18:31+01:00,softwarecatalog,Merge pull request #146 from ConductionNL/hotfix/aanbodendpoint,14283/119/02,low,true
a0318b9b06c9d7cccd4757f008725ef23a16133d,Ruben van der Linde,2025-12-15T12:17:43+01:00,softwarecatalog,Merge remote-tracking branch 'origin/hotfix/aanbodendpoint' into hotfix/aanbodendpoint,14283/119/02,low,true
923237af5f511225ad0a705afb7b0a7625f038e1,Ruben van der Linde,2025-12-15T12:17:35+01:00,softwarecatalog,Lets fix the parent organisation,14283/120/01,high,false
168c724cd6456a3eea482bd1a18a7efa024abb14,SudoThijn,2025-12-11T11:34:04+01:00,softwarecatalog,last lint fix,14283/119/01,low,false
602c1c4a0bab34d20384274aef715d9ba39e5b20,SudoThijn,2025-12-11T11:14:29+01:00,softwarecatalog,flat-config conversion + lint-fix,14283/119/01,low,false
0575a0c741dbf5ab13db4ab7468b833305dcd7fd,Thijn,2025-12-10T17:08:19+01:00,softwarecatalog,HIBP implementation,14283/119/02,low,false
af972d8f4fe642bc500c32bf7dfae4a919a02bf0,Thijn,2025-12-10T17:07:58+01:00,softwarecatalog,lint fix,14283/119/01,low,false
