hash,author,date,repo,subject,project,confidence,automated
16a5eebe2ed1cb08e4b95a7043a9fc651ad9b7bc,Robert Zondervan,2025-10-16T15:47:21+02:00,zaakafhandelapp,Remove locks from body when object is unlocked,14283/119/01,low,false
949b09452d9b33e0c6b14b261a26edab82e73fd5,Robert Zondervan,2025-10-16T14:50:38+02:00,zaakafhandelapp,Connect zaaktypen and informatieobjecttypen when a ZT-IOT is made,14283/119/01,high,false
6781ab8ec94024b96a67c97c1a5ebf2bcd159722,GitHub Action,2025-10-07T09:32:15+00:00,zaakafhandelapp,Bump version to 0.1.29,14283/119/01,low,true
38c3b723059a7a7b35883f9f2350642e42b4e83b,Robert Zondervan,2025-10-07T11:32:01+02:00,zaakafhandelapp,Merge pull request #166 from ConductionNL/development,14283/119/01,low,true
65ff0f22e8b846eaae19cc5d77183ed1fb31e46e,Robert Zondervan,2025-10-07T11:04:30+02:00,zaakafhandelapp,Merge pull request #165 from ConductionNL/feature/zaakreg-108/complex-checks,14283/119/01,high,true
d6234c0ece23cf47fac52c722b0c3e04d75439aa,Robert Zondervan,2025-10-07T11:01:01+02:00,zaakafhandelapp,remove vardump,14283/119/01,low,false
71f495196833580a4e3580c307508720c61d73ca,Robert Zondervan,2025-10-07T10:58:25+02:00,zaakafhandelapp,Fix deleting besluiten,14283/119/01,high,false
944bd7a424de01ceb001ba2b72193d299913408a,Robert Zondervan,2025-10-03T17:03:12+02:00,zaakafhandelapp,BRC rules,14283/119/01,high,false
79e2c74906eaae4a11b6959399ed37a58ff15172,GitHub Action,2025-10-03T09:49:53+00:00,zaakafhandelapp,Bump version to 0.1.28,14283/119/01,low,true
dccec7149d5723e0c2c38d331fe54e724effb3c5,Robert Zondervan,2025-10-03T11:49:43+02:00,zaakafhandelapp,Merge pull request #164 from ConductionNL/development,14283/119/01,low,true
11592abfe00a650605be9713b280936b59ae43df,Robert Zondervan,2025-10-03T11:49:06+02:00,zaakafhandelapp,Merge pull request #163 from ConductionNL/feature/zaakreg-108/complex-checks,14283/119/01,high,true
538c8c02ac5c2337d2fea3cb6d76d3b1f9614857,Robert Zondervan,2025-10-03T11:22:44+02:00,zaakafhandelapp,ZRC-012: Check gegevensgroepen,14283/119/01,high,false
4dac99630962200d5146e134507b98150a87d7ba,Robert Zondervan,2025-10-03T10:31:01+02:00,zaakafhandelapp,Last fix on ZRC-007,14283/119/01,high,false
d4d466a5c78fd5206768583274f5ca436a4537d9,Robert Zondervan,2025-10-02T17:13:03+02:00,zaakafhandelapp,Fix for checking gebruiksrechten,14283/119/01,high,false
c5bf090a4443e9b051beda6efda4e7a3d829ad21,Robert Zondervan,2025-10-02T17:09:38+02:00,zaakafhandelapp,Merge pull request #162 from ConductionNL/feature/zaakreg-108/complex-checks,14283/119/01,high,true
16e4cb93d4e295a9b8382574ff0b5e0e8d938787,Robert Zondervan,2025-10-02T16:06:16+02:00,zaakafhandelapp,Add complex object checking,14283/119/01,high,false
67ef55a14131b31cb8b29ea25bf82e43955dba8e,GitHub Action,2025-10-02T09:11:42+00:00,zaakafhandelapp,Bump version to 0.1.27,14283/119/01,low,true
8859b973a9bb3200f916e307b84f59d56a0917e6,Robert Zondervan,2025-10-02T11:11:28+02:00,zaakafhandelapp,Merge pull request #161 from ConductionNL/development,14283/119/01,low,true
a373a542f19e94b8ec84f91ad7ada1d04cb32b3d,Robert Zondervan,2025-10-02T11:10:37+02:00,zaakafhandelapp,Merge pull request #160 from ConductionNL/feature/ZAAKREG-95/set-vertrouwelijkheidaanduiding,14283/119/01,high,true
f69cc149f7196ebbc785897f6137eba4f138d0c3,Robert Zondervan,2025-10-02T11:08:24+02:00,zaakafhandelapp,Derive vertrouwelijkheidaanduiding from zaaktype if zaak does not contain it,14283/119/01,high,false
d19e1c6d0e6c888be35fe663da238bb4f5ad4332,GitHub Action,2025-10-02T08:45:07+00:00,zaakafhandelapp,Bump version to 0.1.26,14283/119/01,low,true
b97871b3ce4e62d891fda311eefeb334541b9123,Robert Zondervan,2025-10-02T10:44:56+02:00,zaakafhandelapp,Merge pull request #158 from ConductionNL/development,14283/119/01,low,true
3781b88a4c549f7b045586cf160fa1f138ad2489,Robert Zondervan,2025-10-02T10:43:24+02:00,zaakafhandelapp,Merge pull request #159 from ConductionNL/feature/zaakreg-109/ZGW-logic,14283/119/01,high,true
341fdd26ea77bcae44d424512b4a12e8edeefe47,Robert Zondervan,2025-10-02T10:41:40+02:00,zaakafhandelapp,Remove dumps,14283/119/01,low,false
1e71a6917f93e349ee38be57959fd8227428b84f,Robert Zondervan,2025-10-01T15:42:52+02:00,zaakafhandelapp,Merge pull request #157 from ConductionNL/feature/zaakreg-109/ZGW-logic,14283/119/01,high,true
a7734dc200f5b1bc449654185cc097e02e07afe9,Robert Zondervan,2025-09-30T16:13:00+02:00,zaakafhandelapp,Working inner logic for ZGW,14283/119/01,high,false
2a668272aacf75e5f255dd463a083732f7d980e3,Robert Zondervan,2025-09-30T08:57:01+02:00,zaakafhandelapp,ZGW Business logic WIP (2),14283/119/01,high,false
94de689711a5ac2b6424f0b61cbc43003706336c,Robert Zondervan,2025-09-30T08:56:48+02:00,zaakafhandelapp,ZGW Business logic WIP,14283/119/01,high,false
